Gene	ModelName	Beta	FDR
ABCB1	921	-0.067879	0.91925
ABCB1	Mel202	-0.17696	0.80915
ABCB1	Mel270	-0.48724	0.27003
ABCB1	Mel285	-0.23718	0.52255
ABCB1	MP38	-0.16439	0.72124
ABCB1	MP41	-0.042508	0.95827
ABCB1	MP46	-0.30969	0.12051
ABCB1	OMM1	-0.0048426	0.98814
ABCB1	OMM23	-0.060929	0.95837
ABCB1	OMM25	-0.24467	0.67908
ABCB10	921	0.50498	0.44931
ABCB10	Mel202	0.16205	0.73059
ABCB10	Mel270	0.20366	0.59888
ABCB10	Mel285	0.30856	0.49587
ABCB10	MP38	0.18832	0.53276
ABCB10	MP41	0.022584	0.96486
ABCB10	MP46	0.0065372	0.99916
ABCB10	OMM1	0.082109	0.89528
ABCB10	OMM23	0.079114	0.90035
ABCB10	OMM25	0.1721	0.69164
ABCB11	921	-0.088091	0.89979
ABCB11	Mel202	-0.11069	0.90355
ABCB11	Mel270	0.0044565	0.97259
ABCB11	Mel285	0.022956	0.99967
ABCB11	MP38	-0.10780000000000001	0.84161
ABCB11	MP41	-0.045311	0.95373
ABCB11	MP46	-0.11681	0.74505
ABCB11	OMM1	-0.21214	0.74385
ABCB11	OMM23	-0.15227	0.82093
ABCB11	OMM25	-0.08773	0.92431
ABCB4	921	0.21266	0.82193
ABCB4	Mel202	0.020334	0.94785
ABCB4	Mel270	-0.17486	0.78126
ABCB4	Mel285	-0.032726	0.93078
ABCB4	MP38	-0.026185	0.97683
ABCB4	MP41	0.02103	0.94469
ABCB4	MP46	-0.097991	0.80643
ABCB4	OMM1	-0.041552	0.97698
ABCB4	OMM23	-0.012986	0.99922
ABCB4	OMM25	-0.036523	0.98024
ABCB5	921	-0.051938	0.93463
ABCB5	Mel202	-0.21548	0.74774
ABCB5	Mel270	0.13583	0.67416
ABCB5	Mel285	0.11951	0.85605
ABCB5	MP38	-0.016894	0.99051
ABCB5	MP41	0.064298	0.84447
ABCB5	MP46	-0.061081	0.89489
ABCB5	OMM1	0.17286	0.47191
ABCB5	OMM23	-0.03113	0.98354
ABCB5	OMM25	-0.086572	0.926
ABCB6	921	0.036459	0.99944
ABCB6	Mel202	-0.033481	0.99618
ABCB6	Mel270	0.13142	0.6906
ABCB6	Mel285	-0.011563	0.96323
ABCB6	MP38	0.044525	0.91972
ABCB6	MP41	0.020503	0.9449
ABCB6	MP46	-0.030365	0.9517
ABCB6	OMM1	0.25866	0.14713
ABCB6	OMM23	0.12501	0.66993
ABCB6	OMM25	0.071991	0.86154
ABCB7	921	-0.975	0.030797
ABCB7	Mel202	-1.5352	0.0030303
ABCB7	Mel270	-0.084702	0.90725
ABCB7	Mel285	-0.26674	0.45657
ABCB7	MP38	-0.19349	0.65279
ABCB7	MP41	-0.084218	0.88887
ABCB7	MP46	-0.074346	0.86553
ABCB7	OMM1	-0.42797	0.35726
ABCB7	OMM23	-0.33964	0.50026
ABCB7	OMM25	-0.67515	0.11538
ABCB8	921	0.62036	0.086698
ABCB8	Mel202	-0.027604	0.99905
ABCB8	Mel270	0.097078	0.79578
ABCB8	Mel285	0.32933	0.24098
ABCB8	MP38	0.064498	0.86932
ABCB8	MP41	0.090638	0.75102
ABCB8	MP46	-0.085992	0.84092
ABCB8	OMM1	0.014534	0.96811
ABCB8	OMM23	0.062942	0.88233
ABCB8	OMM25	0.018377	0.96011
ABCB9	921	0.6567	0.05506
ABCB9	Mel202	-0.021315	0.99689
ABCB9	Mel270	-0.016678	0.99944
ABCB9	Mel285	0.099147	0.89965
ABCB9	MP38	-0.072732	0.90941
ABCB9	MP41	0.053752	0.8723
ABCB9	MP46	0.032115	0.96007
ABCB9	OMM1	0.039426	0.9308
ABCB9	OMM23	0.035296	0.94828
ABCB9	OMM25	0.2209	0.32561
ABCC1	921	-0.08021	0.90677
ABCC1	Mel202	0.1064	0.76519
ABCC1	Mel270	-0.080396	0.91314
ABCC1	Mel285	0.0060138	0.98488
ABCC1	MP38	0.088378	0.7967
ABCC1	MP41	-0.044153	0.95628
ABCC1	MP46	0.0032487	0.99844
ABCC1	OMM1	-0.0035503	0.98728
ABCC1	OMM23	0.2142	0.25779
ABCC1	OMM25	-0.20477	0.74561
ABCC10	921	-0.20849	0.77165
ABCC10	Mel202	-0.1967	0.77213
ABCC10	Mel270	-0.13383	0.84398
ABCC10	Mel285	0.072906	0.93423
ABCC10	MP38	-0.049474	0.9397
ABCC10	MP41	-0.027866	0.97899
ABCC10	MP46	0.10408	0.77412
ABCC10	OMM1	-0.10269	0.90792
ABCC10	OMM23	0.015732	0.97786
ABCC10	OMM25	-0.013328	0.99808
ABCC11	921	0.45668	0.35002
ABCC11	Mel202	-0.077107	0.94879
ABCC11	Mel270	0.1636	0.57566
ABCC11	Mel285	0.25847	0.45497
ABCC11	MP38	0.035777	0.93065
ABCC11	MP41	0.020375	0.94499
ABCC11	MP46	0.050459	0.92716
ABCC11	OMM1	-0.016861	0.99967
ABCC11	OMM23	-0.080488	0.92928
ABCC11	OMM25	0.078692	0.84429
ABCC12	921	0.16449	0.88611
ABCC12	Mel202	0.051189	0.89603
ABCC12	Mel270	0.037234	0.91604
ABCC12	Mel285	0.10455	0.88747
ABCC12	MP38	0.068115	0.85518
ABCC12	MP41	-0.045215	0.95377
ABCC12	MP46	-0.018745	0.96771
ABCC12	OMM1	0.004638	0.97751999999999994
ABCC12	OMM23	0.015465	0.97806
ABCC12	OMM25	0.082746	0.83578
ABCC2	921	0.1487	0.89979
ABCC2	Mel202	-0.024558	0.99866
ABCC2	Mel270	0.03854	0.91288
ABCC2	Mel285	0.31869	0.26638
ABCC2	MP38	0.046257	0.91425
ABCC2	MP41	0.16515	0.46318
ABCC2	MP46	-0.045236	0.92741
ABCC2	OMM1	0.03534	0.93734
ABCC2	OMM23	0.025342	0.96466
ABCC2	OMM25	0.14432	0.64194
ABCC3	921	0.49295	0.27628
ABCC3	Mel202	0.2209	0.39136
ABCC3	Mel270	0.013913	0.95929
ABCC3	Mel285	0.35713	0.16607
ABCC3	MP38	0.11663	0.68838
ABCC3	MP41	0.076456	0.80746
ABCC3	MP46	-0.0075797	0.9826
ABCC3	OMM1	0.067734	0.87724
ABCC3	OMM23	0.11141	0.7269
ABCC3	OMM25	0.10401	0.78112
ABCC4	921	0.65736000000000006	0.05506
ABCC4	Mel202	0.38222	0.035343
ABCC4	Mel270	0.43882	0.0059172
ABCC4	Mel285	0.304	0.31286
ABCC4	MP38	0.12436	0.65274
ABCC4	MP41	0.11291	0.66988
ABCC4	MP46	-0.013466	0.97385
ABCC4	OMM1	0.30007	0.054745
ABCC4	OMM23	0.26037	0.10688
ABCC4	OMM25	0.29755	0.098039
ABCC5	921	-0.14559	0.84332
ABCC5	Mel202	0.11513	0.74547
ABCC5	Mel270	0.15716	0.59572
ABCC5	Mel285	-0.24299	0.51
ABCC5	MP38	-0.063285	0.9236
ABCC5	MP41	0.076004	0.80935
ABCC5	MP46	0.028245	0.9647
ABCC5	OMM1	0.059589	0.8928
ABCC5	OMM23	0.13321	0.63266
ABCC5	OMM25	0.046225	0.91709
ABCC6	921	0.067427	0.96493
ABCC6	Mel202	-0.17559	0.73046
ABCC6	Mel270	-0.12104	0.81921
ABCC6	Mel285	0.008292	0.98486
ABCC6	MP38	-0.17031	0.53407
ABCC6	MP41	-0.019442	0.9986
ABCC6	MP46	-0.031462	0.92975
ABCC6	OMM1	-0.14058	0.80041
ABCC6	OMM23	0.013773	0.94809
ABCC6	OMM25	-0.32822	0.29807
ABCC8	921	0.3145	0.64359
ABCC8	Mel202	0.20654	0.44524
ABCC8	Mel270	0.09134	0.81122
ABCC8	Mel285	0.17353	0.72562
ABCC8	MP38	0.019121	0.96375
ABCC8	MP41	0.11433	0.66544
ABCC8	MP46	-0.19428	0.47601
ABCC8	OMM1	0.14785	0.5982
ABCC8	OMM23	0.15998	0.50351
ABCC8	OMM25	0.17912	0.50091
ABCC9	921	0.15022	0.89769
ABCC9	Mel202	0.0093927	0.96249
ABCC9	Mel270	0.083722	0.82921
ABCC9	Mel285	0.02245	0.99905
ABCC9	MP38	-0.0209	0.98558
ABCC9	MP41	0.043604	0.8993
ABCC9	MP46	0.12015	0.70679
ABCC9	OMM1	0.072778	0.86166
ABCC9	OMM23	0.067677	0.87136
ABCC9	OMM25	0.17096	0.52899
ABCD1	921	0.55433	0.17239
ABCD1	Mel202	0.1212	0.72597
ABCD1	Mel270	0.13366	0.68165
ABCD1	Mel285	0.052344	0.96865
ABCD1	MP38	-0.021918	0.98378
ABCD1	MP41	0.026864	0.93491
ABCD1	MP46	-0.07821	0.85441
ABCD1	OMM1	-0.017543	0.99994
ABCD1	OMM23	0.1167	0.70377
ABCD1	OMM25	0.022014	0.95632
ABCD2	921	-0.43594	0.45806
ABCD2	Mel202	0.0045062	0.97132
ABCD2	Mel270	-0.1474	0.82426
ABCD2	Mel285	0.12259	0.84857
ABCD2	MP38	-0.079692	0.8972
ABCD2	MP41	0.064311	0.84447
ABCD2	MP46	-0.038444	0.94085
ABCD2	OMM1	0.066825	0.87926
ABCD2	OMM23	-0.1102	0.88535
ABCD2	OMM25	-0.017994	0.999
ABCD3	921	0.063072	0.98207
ABCD3	Mel202	0.09605	0.79593
ABCD3	Mel270	-0.043291	0.968
ABCD3	Mel285	-0.087138	0.84551
ABCD3	MP38	-0.051886	0.93672
ABCD3	MP41	-0.20571	0.6201
ABCD3	MP46	0.05942	0.90595
ABCD3	OMM1	-0.038037	0.98005
ABCD3	OMM23	-0.036415	0.97988
ABCD3	OMM25	9.0161e-4	0.98135
ABCD4	921	-0.089484	0.89852
ABCD4	Mel202	0.14991	0.6494
ABCD4	Mel270	0.15443	0.60311
ABCD4	Mel285	-0.13816	0.74842
ABCD4	MP38	0.076441	0.83329
ABCD4	MP41	0.053143	0.87383
ABCD4	MP46	0.0589	0.9069
ABCD4	OMM1	-0.040986	0.97765
ABCD4	OMM23	0.010743	0.98017
ABCD4	OMM25	0.073598	0.85654
ABCE1	921	-2.4831	0
ABCE1	Mel202	-2.3467	0
ABCE1	Mel270	-2.3771	0
ABCE1	Mel285	-1.1378	0
ABCE1	MP38	-1.3266	0
ABCE1	MP41	-1.4683	0
ABCE1	MP46	-0.43948	0.0063694
ABCE1	OMM1	-3.1434	0
ABCE1	OMM23	-3.0109	0
