Gene stable ID	Gene stable ID version	Gene name	HGNC symbol	HGNC ID
ENSG00000183691	ENSG00000183691.6	NOG	NOG	HGNC:7866
ENSG00000157833	ENSG00000157833.13	GAREM2	GAREM2	HGNC:27172
ENSG00000184185	ENSG00000184185.10	KCNJ12	KCNJ12	HGNC:6258
ENSG00000197299	ENSG00000197299.13	BLM	BLM	HGNC:1058
ENSG00000183166	ENSG00000183166.12	CALN1	CALN1	HGNC:13248
ENSG00000135931	ENSG00000135931.19	ARMC9	ARMC9	HGNC:20730
ENSG00000128594	ENSG00000128594.8	LRRC4	LRRC4	HGNC:15586
ENSG00000006283	ENSG00000006283.18	CACNA1G	CACNA1G	HGNC:1394
ENSG00000174697	ENSG00000174697.5	LEP	LEP	HGNC:6553
ENSG00000001460	ENSG00000001460.18	STPG1	STPG1	HGNC:28070
ENSG00000152377	ENSG00000152377.15	SPOCK1	SPOCK1	HGNC:11251
ENSG00000104447	ENSG00000104447.13	TRPS1	TRPS1	HGNC:12340
ENSG00000188707	ENSG00000188707.8	ZBED10P	ZBED10P	HGNC:21720
ENSG00000166546	ENSG00000166546.15	BEAN1	BEAN1	HGNC:24160
ENSG00000106537	ENSG00000106537.8	TSPAN13	TSPAN13	HGNC:21643
ENSG00000146021	ENSG00000146021.15	KLHL3	KLHL3	HGNC:6354
ENSG00000106541	ENSG00000106541.12	AGR2	AGR2	HGNC:328
ENSG00000239382	ENSG00000239382.11	ALKBH6	ALKBH6	HGNC:28243
ENSG00000187555	ENSG00000187555.17	USP7	USP7	HGNC:12630
ENSG00000117602	ENSG00000117602.13	RCAN3	RCAN3	HGNC:3042
ENSG00000173467	ENSG00000173467.9	AGR3	AGR3	HGNC:24167
ENSG00000186577	ENSG00000186577.14	SMIM29	SMIM29	HGNC:1340
ENSG00000204967	ENSG00000204967.13	PCDHA4	PCDHA4	HGNC:8670
ENSG00000120910	ENSG00000120910.15	PPP3CC	PPP3CC	HGNC:9316
ENSG00000145495	ENSG00000145495.17	MARCHF6	MARCHF6	HGNC:30550
ENSG00000184454	ENSG00000184454.7	NCMAP	NCMAP	HGNC:29332
ENSG00000272325	ENSG00000272325.2	NUDT3	NUDT3	HGNC:8050
ENSG00000140564	ENSG00000140564.13	FURIN	FURIN	HGNC:8568
ENSG00000137309	ENSG00000137309.21	HMGA1	HMGA1	HGNC:5010
ENSG00000116539	ENSG00000116539.14	ASH1L	ASH1L	HGNC:19088
ENSG00000130159	ENSG00000130159.15	ECSIT	ECSIT	HGNC:29548
ENSG00000214338	ENSG00000214338.11	MTCL3	MTCL3	HGNC:21494
ENSG00000146216	ENSG00000146216.14	TTBK1	TTBK1	HGNC:19140
ENSG00000168522	ENSG00000168522.13	FNTA	FNTA	HGNC:3782
ENSG00000111344	ENSG00000111344.12	RASAL1	RASAL1	HGNC:9873
ENSG00000172183	ENSG00000172183.16	ISG20	ISG20	HGNC:6130
ENSG00000010818	ENSG00000010818.11	HIVEP2	HIVEP2	HGNC:4921
ENSG00000181444	ENSG00000181444.13	ZNF467	ZNF467	HGNC:23154
ENSG00000103723	ENSG00000103723.17	AP3B2	AP3B2	HGNC:567
ENSG00000164236	ENSG00000164236.12	ANKRD33B	ANKRD33B	HGNC:35240
ENSG00000106479	ENSG00000106479.11	ZNF862	ZNF862	HGNC:34519
ENSG00000102898	ENSG00000102898.13	NUTF2	NUTF2	HGNC:13722
ENSG00000184347	ENSG00000184347.16	SLIT3	SLIT3	HGNC:11087
ENSG00000077348	ENSG00000077348.10	EXOSC5	EXOSC5	HGNC:24662
ENSG00000146049	ENSG00000146049.2	KAAG1	KAAG1	HGNC:21031
ENSG00000165102	ENSG00000165102.15	HGSNAT	HGSNAT	HGNC:26527
ENSG00000055118	ENSG00000055118.18	KCNH2	KCNH2	HGNC:6251
ENSG00000183019	ENSG00000183019.8	MCEMP1	MCEMP1	HGNC:27291
ENSG00000103051	ENSG00000103051.21	COG4	COG4	HGNC:18620
ENSG00000124614	ENSG00000124614.17	RPS10	RPS10	HGNC:10383
ENSG00000142459	ENSG00000142459.9	EVI5L	EVI5L	HGNC:30464
ENSG00000082175	ENSG00000082175.16	PGR	PGR	HGNC:8910
ENSG00000115138	ENSG00000115138.11	POMC	POMC	HGNC:9201
ENSG00000084652	ENSG00000084652.16	TXLNA	TXLNA	HGNC:30685
ENSG00000179912	ENSG00000179912.21	R3HDM2	R3HDM2	HGNC:29167
ENSG00000081052	ENSG00000081052.14	COL4A4	COL4A4	HGNC:2206
ENSG00000124507	ENSG00000124507.11	PACSIN1	PACSIN1	HGNC:8570
ENSG00000155026	ENSG00000155026.17	RSPH10B	RSPH10B	HGNC:27362
ENSG00000066044	ENSG00000066044.15	ELAVL1	ELAVL1	HGNC:3312
ENSG00000250722	ENSG00000250722.6	SELENOP	SELENOP	HGNC:10751
ENSG00000168333	ENSG00000168333.14	PPDPFL	PPDPFL	HGNC:31745
ENSG00000160051	ENSG00000160051.12	IQCC	IQCC	HGNC:25545
ENSG00000130477	ENSG00000130477.16	UNC13A	UNC13A	HGNC:23150
ENSG00000124664	ENSG00000124664.11	SPDEF	SPDEF	HGNC:17257
ENSG00000183615	ENSG00000183615.6	FAM167B	FAM167B	HGNC:28133
ENSG00000204099	ENSG00000204099.12	NEU4	NEU4	HGNC:21328
ENSG00000175130	ENSG00000175130.7	MARCKSL1	MARCKSL1	HGNC:7142
ENSG00000162526	ENSG00000162526.7	TSSK3	TSSK3	HGNC:15473
ENSG00000196821	ENSG00000196821.10	ILRUN	ILRUN	HGNC:21215
ENSG00000023171	ENSG00000023171.20	GRAMD1B	GRAMD1B	HGNC:29214
ENSG00000198010	ENSG00000198010.13	DLGAP2	DLGAP2	HGNC:2906
ENSG00000122512	ENSG00000122512.17	PMS2	PMS2	HGNC:9122
ENSG00000185633	ENSG00000185633.11	NDUFA4L2	NDUFA4L2	HGNC:29836
ENSG00000137166	ENSG00000137166.18	FOXP4	FOXP4	HGNC:20842
ENSG00000154928	ENSG00000154928.19	EPHB1	EPHB1	HGNC:3392
ENSG00000168679	ENSG00000168679.18	SLC16A4	SLC16A4	HGNC:10925
ENSG00000139343	ENSG00000139343.11	SNRPF	SNRPF	HGNC:11162
ENSG00000135473	ENSG00000135473.16	PAN2	PAN2	HGNC:20074
ENSG00000169045	ENSG00000169045.19	HNRNPH1	HNRNPH1	HGNC:5041
ENSG00000185900	ENSG00000185900.11	POMK	POMK	HGNC:26267
ENSG00000130479	ENSG00000130479.11	MAP1S	MAP1S	HGNC:15715
ENSG00000163359	ENSG00000163359.17	COL6A3	COL6A3	HGNC:2213
ENSG00000174749	ENSG00000174749.6	FAM241A	FAM241A	HGNC:26813
ENSG00000163623	ENSG00000163623.10	NKX6-1	NKX6-1	HGNC:7839
ENSG00000038532	ENSG00000038532.17	CLEC16A	CLEC16A	HGNC:29013
ENSG00000203690	ENSG00000203690.14	TCP10L3	TCP10L3	HGNC:11656
ENSG00000114654	ENSG00000114654.8	EFCC1	EFCC1	HGNC:25692
ENSG00000163624	ENSG00000163624.6	CDS1	CDS1	HGNC:1800
ENSG00000163625	ENSG00000163625.17	WDFY3	WDFY3	HGNC:20751
